ID	Quadrant	Teilquadrant	Ortsnummer	Ortsbuchstaben	Ortsname	Kreis	Land	I	II	III	IV	comment	RES_1st_run	Ortsname_old	Stadt.oder.Gemeinde.oder.Landkreis	x	y	res	prev	x_new	y_new	cor
426	125	25	14	au	Bechlingen	Wetzlar	Hessen-Nassau	j	j	j	j	NA	detected			460949.860833756	5608514.89410455	detected		460949.8608	5608514894	
319	125	1	14	c	Puderbach	Wittgenstein	Westfalen	j	j	j	j	NA	detected			461027.787112392	5644355.65541475	detected		461027.7871	5644355655	
792	139	1	9	ac	Niederquembach	Wetzlar	Hessen-Nassau	j	NA	NA	NA	NA	detected			461136.227172154	5591599.94727973	detected		461136.2272	5591599947	
1055	151	1	4	cu	Haßloch	Groß Gerau	Hessen	j	NA	NA	NA	NA	detected			461137.936318841	5537192.6900996	detected		461137.9363	5537192.69	
1116	151	13	14	du	Biebesheim am Rhein	Groß Gerau	Hessen	j	j	j	j	NA	not detected	Biebesheim		461483.210087252	5514263.40161509	detected		461483.2101	5514263402	
479	125	31	19	dl	Laufdorf	Wetzlar	Hessen-Nassau	j	j	j	NA	NA	detected			461531.343118077	5596145.09152494	detected		461531.3431	5596145092	
1114	151	13	9	b	Stockstadt am Rhein	Groß Gerau	Hessen	j	j	j	j	NA	not detected	Stockstadt		461658.406054936	5517642.19232883	detected		461658.4061	5517642192	
1087	151	7	24	d	Erfelden	Groß Gerau	Hessen	j	j	NA	NA	NA	detected			461908.511269893	5520453.42455706	detected		461908.5113	5520453425	
963	139	25	15	co	Niederhofheim	Main-Taunuskreis	Hessen-Nassau	j	NA	NA	NA	NA	detected			462349.123082563	5552394.8838221	detected		462349.1231	5552394884	
795	139	1	19	br	Kröffelbach	Wetzlar	Hessen-Nassau	NA	NA	j	j	NA	detected			462638.507642418	5588297.61955154	detected		462638.5076	5588297.62	
1120	151	13	25	c	Gernsheim	Groß Gerau	Hessen	j	j	j	j	NA	detected			462644.392350497	5511431.15730166	detected		462644.3924	5511431157	
1081	151	7	5	cu	Berkach	Groß Gerau	Hessen	j	NA	NA	NA	NA	detected			462734.268294868	5527541.35696572	detected		462734.2683	5527541357	
1083	151	7	15	a	Dornheim	Groß Gerau	Hessen	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		462775.2667	5525161672	found (two entries in Wenker but with same location, differ only in â€œextr_bgâ€)
