"","X","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res"
"413",100,"111",36,18,"ar","Nassenerfurth","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,"detected","","",518136.287339017,5652581.20484065,"detected"
"414",101,"112",1,4,"a","Hombressen","Hofgeismar","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",531614.223010492,5704926.93424316,"detected"
"415",103,"112",2,3,"b","Veckerhagen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,"detected","","",541532.018395012,5705287.47021239,"detected"
"417",142,"112",7,6,"ar","Ehrsten","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,"detected","","",524170.166806268,5693631.19508558,"detected"
"418",143,"112",7,9,"bo","Hohenkirchen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,"detected","","",533016.75971091,5694181.25153583,"detected"
"419",144,"112",7,12,"d","Weimar","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",527345.158788501,5690599.97282461,"detected"
"420",147,"112",8,16,"d","Ihringshausen","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",536637.441957189,5688912.11163106,"detected"
"421",150,"112",9,9,"dl","Blickershausen","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,"detected","","",555124.993873045,5692448.15316142,"detected"
"422",152,"112",10,1,"d","Hermannrode","Witzenhausen","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",559923.341941153,5695171.61424507,"detected"
"423",172,"112",13,22,"b","Altenritte","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",527853.299854986,5679092.22627689,"detected"
"424",173,"112",14,8,"co","Heiligenrode","Kassel","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",540386.703909672,5684191.46137464,"detected"
"425",175,"112",14,19,"b","Oberkaufungen","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",544076.001931285,5681563.84442499,"detected"
