,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname_cor,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt oder Gemeinde oder Landkreis
1049,140,19,15,c,Burgjoß ,Gelnhausen,Hessen-Nassau,NA,NA,NA,j,NA,not detected,Burgjoß,Jossgrund
1053,151,1,1,do,Bischofsheim,Mainz,Hessen,j,j,j,j,NA,not detected,Mainz-Bischofsheim,
1056,151,1,11,a,Ginsheim-Gustavsburg,Mainz,Hessen,j,j,j,j,NA,not detected,Mainz-Ginsheim,
1061,151,2,21,cu,Klein-Gerau,Groß Gerau,Hessen,j,j,j,j,NA,not detected,Klein Gerau,
1063,151,3,1,co,Langen ,Offenbach,Hessen,j,j,j,j,NA,not detected,Langen,Offenbach
1067,151,3,10,ar,Ober-Roden,Dieburg,Hessen,j,j,j,j,NA,not detected,Ober Roden,
1069,151,4,2,ao,Nieder-Roden,Dieburg,Hessen,j,NA,NA,NA,NA,not detected,Nieder Roden,
1075,151,5,7,b,Stockstadt am Main,BA. Aschaffenburg,RegBez. Unterfranken (Bayern),NA,NA,NA,j,NA,not detected,Stockstadt,
1089,151,8,20,au,Darmstadt-Bessungen ,Darmstadt,Hessen,j,j,j,j,NA,not detected,Darmstadt-Bessungen,
1092,151,9,18,do,Roßdorf ,Darmstadt,Hessen,j,j,j,j,NA,not detected,Roßdorf,Darmstadt-Dieburg
1094,151,9,24,au,Zeilhard ,Dieburg,Hessen,j,j,j,j,NA,not detected,Zeilhard,Reinheim
1099,151,10,9,c,Klein-Umstadt,Dieburg,Hessen,j,j,j,j,NA,not detected,Klein Umstadt,
1100,151,10,11,co,Groß-Zimmern,Dieburg,Hessen,j,j,j,j,NA,not detected,Groß Zimmern,
1102,151,10,13,du,Groß-Umstadt,Dieburg,Hessen,NA,j,j,j,NA,not detected,Groß Umstadt,
1108,151,11,15,ar,Großwallstadt,BA. Obernburg,RegBez. Unterfranken (Bayern),j,j,j,j,NA,not detected,Großwallstadt,Miltenberg
1111,151,11,21,bl,Wald-Amorbach ,Erbach,Hessen,j,j,j,j,NA,not detected,Wald-Amorbach,Breuberg
1114,151,13,9,b,Stockstadt am Rhein,Groß Gerau,Hessen,j,j,j,j,NA,not detected,Stockstadt,
1116,151,13,14,du,Biebesheim am Rhein,Groß Gerau,Hessen,j,j,j,j,NA,not detected,Biebesheim,
1127,151,14,25,ao,Seeheim-Jugenheim,Bensheim,Hessen,j,j,j,NA,NA,not detected,Seeheim,
1128,151,15,2,cl,Nieder-Ramstadt,Darmstadt,Hessen,j,j,NA,NA,NA,not detected,Nieder Ramstadt,
1129,151,15,3,co,Ober-Ramstadt,Darmstadt,Hessen,j,j,j,j,NA,not detected,Ober Ramstadt,
1130,151,15,9,co,Wembach-Hahn ,Dieburg,Hessen,j,j,j,j,NA,not detected,Wembach-Hahn,Ober-Ramstadt
1131,151,15,10,cu,Groß-Bieberau ,Dieburg,Hessen,j,j,j,j,NA,not detected,Groß-Bieberau,Darmstadt-Dieburg
1132,151,15,13,ao,Nieder-Modau,Dieburg,Hessen,j,j,j,j,NA,not detected,Niedermodau,
1134,151,15,13,cl,Ober-Modau,Dieburg,Hessen,j,j,j,j,NA,not detected,Obermodau,
1140,151,16,7,bl,Ober-Klingen,Dieburg,Hessen,j,NA,NA,NA,NA,not detected,Ober Klingen,
